,City Name,Temp,Feels Like,Max Temp,Min Temp,Pressure,Humidity,Visibility,Latitude,Longitude,Cloudiness,Date,Country,Wind Speed
0,Mataura,283.15,282.97,283.15,283.15,1008,91,10000,-46.1927,168.8643,100,1618683941,NZ,1.34
1,Thompson,274.15,269.41,274.15,274.15,1017,64,10000,55.7435,-97.8558,90,1618684071,CA,5.14
2,Batagay-Alyta,259.32,253.85,259.32,259.32,991,91,9250,67.8006,130.4114,100,1618684052,RU,2.43
3,Carballo,288.3,287.2,289.15,287.04,1020,51,10000,43.213,-8.691,0,1618684162,ES,2.57
4,Bredasdorp,285.15,284.86,285.15,285.15,1017,94,10000,-34.5322,20.0403,27,1618683793,ZA,1.03
5,Yellowknife,273.09,268.58,274.82,270.93,1033,64,10000,62.456,-114.3525,75,1618683963,CA,4.32
6,Pevek,264.0,258.99,264.0,264.0,1007,91,10000,69.7008,170.3133,99,1618684162,RU,2.73
7,Chokurdakh,259.98,254.11,259.98,259.98,990,93,10000,70.6333,147.9167,89,1618684163,RU,2.79
8,Puerto Ayora,298.84,299.92,299.26,298.15,1011,94,1500,-0.7393,-90.3518,90,1618684163,EC,2.57
9,Faanui,300.73,303.48,300.73,300.73,1014,74,10000,-16.4833,-151.75,91,1618683948,PF,3.67
10,Vaini,292.15,292.4,292.15,292.15,1014,88,10000,-21.2,-175.2,40,1618684163,TO,2.06
11,Lata,292.35,291.29,293.15,292.04,1018,37,10000,40.1629,-8.3327,0,1618684164,PT,3.09
12,Tasiilaq,270.15,270.15,270.15,270.15,997,73,10000,65.6145,-37.6368,90,1618683952,GL,1.27
13,Severo-Kuril'sk,275.23,272.09,275.23,275.23,1030,72,10000,50.6789,156.125,98,1618684164,RU,3.07
14,Sobolevo,283.68,283.14,283.68,283.68,1017,90,10000,54.4299,31.8996,99,1618684091,RU,7.12
15,Kuril'sk,276.42,271.07,276.42,276.42,1020,88,10000,45.2333,147.8833,100,1618684165,RU,8.02
16,Devils Lake,284.21,282.42,284.26,284.15,1020,40,10000,48.1128,-98.8651,1,1618684158,US,6.69
17,Ribeira Grande,292.15,292.4,292.15,292.15,1018,88,10000,38.5167,-28.7,20,1618684165,PT,5.66
18,Buenos Aires,297.06,297.41,297.59,296.15,1017,73,10000,-34.6132,-58.3772,0,1618683952,AR,2.57
19,Kahului,295.07,295.62,296.15,294.26,1017,88,10000,20.8947,-156.47,20,1618683952,US,1.7
20,Port Elizabeth,292.15,292.12,292.15,292.15,1018,77,10000,-33.918,25.5701,0,1618684166,ZA,4.12
21,Isangel,298.24,299.08,298.24,298.24,1011,87,10000,-19.55,169.2667,91,1618684166,VU,5.58
22,Huarmey,296.35,296.66,296.35,296.35,1011,74,10000,-10.0681,-78.1522,93,1618684167,PE,5.49
23,Vila Velha,299.97,302.33,300.93,299.15,1014,78,10000,-20.3297,-40.2925,40,1618684061,BR,4.63
24,Castro Alves,301.44,301.93,301.44,301.44,1010,50,10000,-12.7656,-39.4283,47,1618684167,BR,4.54
25,Roald,279.99,276.96,281.48,278.15,1031,61,10000,62.5833,6.1333,0,1618684168,NO,4.63
26,Souillac,298.15,299.0,298.15,298.15,1017,88,10000,-20.5167,57.5167,75,1618684168,MU,3.09
27,Hualmay,296.02,296.27,296.02,296.02,1012,73,10000,-11.0964,-77.6139,67,1618684168,PE,4.92
28,Vestmannaeyjar,279.15,276.17,279.15,279.15,1000,93,7500,63.4427,-20.2734,90,1618683974,IS,4.12
29,Cooma,275.15,275.15,275.15,275.15,1022,100,10000,-36.2333,149.1333,90,1618684169,AU,0.83
30,Soron,298.19,297.74,298.19,298.19,1011,38,10000,27.8833,78.75,6,1618683905,IN,2.4
31,Naryan-Mar,264.01,256.07,264.01,264.01,1029,88,10000,67.6713,53.087,99,1618684169,RU,6.04
32,Maniitsoq,263.21,255.77,263.21,263.21,1017,71,10000,65.4167,-52.9,100,1618684170,GL,5.04
33,Codrington,285.8,285.39,285.8,285.8,1023,87,10000,-38.2667,141.9667,98,1618684127,AU,2.72
34,Weinan,288.37,286.86,288.71,287.15,1018,35,10000,34.5036,109.5089,0,1618684170,CN,2.0
35,Tiznit Province,292.03,291.51,292.03,292.03,1015,59,10000,29.5833,-9.5,0,1618684036,MA,3.05
36,Hermanus,293.15,292.88,293.15,293.15,1015,64,10000,-34.4187,19.2345,20,1618684171,ZA,1.0
37,Careiro da Várzea,300.63,304.36,301.15,300.15,1011,83,10000,-3.2003,-59.8119,75,1618684171,BR,2.06
38,Ranong,299.58,299.58,299.58,299.58,1012,83,10000,9.9658,98.6348,40,1618684087,TH,1.74
39,Saskylakh,260.22,251.83,260.22,260.22,1002,94,440,71.9167,114.0833,100,1618684006,RU,5.29
40,Ushuaia,289.15,287.95,289.15,289.15,1003,44,10000,-54.8,-68.3,20,1618683940,AR,7.72
41,Kushima,283.36,281.95,283.36,283.36,1015,58,10000,31.4583,131.2333,88,1618684078,JP,6.51
42,Busselton,286.92,286.47,288.15,284.82,1026,81,10000,-33.65,115.3333,1,1618684172,AU,1.34
43,Saint Paul Harbor,278.15,276.04,278.15,278.15,1030,81,10000,57.79,-152.4072,90,1618684014,US,2.51
44,Samarai,300.95,304.61,300.95,300.95,1007,79,10000,-10.6167,150.6667,100,1618684172,PG,5.72
45,Sotik Post,288.26,288.2,288.26,288.26,1016,91,10000,-0.7813,35.3416,92,1618684173,KE,2.46
46,Bluff,283.15,282.97,283.15,283.15,1008,91,10000,-46.6,168.3333,88,1618684173,NZ,1.34
47,Santa Rosa,300.8,303.63,301.15,300.37,1009,74,10000,14.3122,121.1114,75,1618683677,PH,1.54
48,Baicheng,278.09,275.61,278.09,278.09,1016,46,10000,45.6167,122.8167,1,1618684174,CN,2.96
49,Jamestown,280.86,278.85,282.04,279.15,1011,75,10000,42.097,-79.2353,90,1618683992,US,3.09
50,Atuona,300.1,302.17,300.1,300.1,1014,73,10000,-9.8,-139.0333,61,1618684174,PF,7.72
51,Melchor de Mencos,308.15,313.44,308.15,308.15,1008,49,10000,17.0686,-89.1522,0,1618684174,GT,2.06
52,Atbasar,280.75,279.22,280.75,280.75,1021,82,10000,51.8,68.3333,19,1618684175,KZ,2.39
53,Aykhal,259.45,248.2,259.45,259.45,1003,93,493,66.0,111.5,100,1618684175,RU,9.53
54,Kudahuvadhoo,301.53,304.42,301.53,301.53,1014,69,10000,2.6708,72.8944,41,1618684175,MV,3.57
55,Ubari,305.47,303.19,305.47,305.47,1006,9,10000,26.5921,12.7805,100,1618684176,LY,1.38
56,Kapaa,292.66,292.96,293.71,290.93,1018,88,10000,22.0752,-159.319,90,1618684176,US,3.6
57,Rosita,305.99,308.31,305.99,305.99,1010,47,10000,13.9268,-84.4032,100,1618684176,NI,2.34
58,Norman Wells,277.15,275.31,277.15,277.15,1037,56,10000,65.282,-126.8329,75,1618684177,CA,2.04
59,Bambous Virieux,298.42,299.3,298.71,298.15,1017,88,10000,-20.3428,57.7575,75,1618684177,MU,3.09
60,Aloleng,300.54,303.32,300.54,300.54,1008,76,10000,16.1307,119.7824,100,1618684177,PH,1.6
61,Cidreira,296.21,296.61,296.21,296.21,1014,78,10000,-30.1811,-50.2056,100,1618684178,BR,4.77
62,Husavik,279.15,275.67,279.15,279.15,1003,70,10000,66.0449,-17.3389,90,1618684067,IS,5.14
63,Sept-Îles,276.56,271.74,277.15,276.15,1017,65,10000,50.2001,-66.3821,75,1618683975,CA,6.69
64,Guerrero Negro,291.41,290.83,291.41,291.41,1015,59,10000,27.9769,-114.0611,31,1618684178,MX,8.02
65,Tuktoyaktuk,266.15,260.16,266.15,266.15,1034,86,10000,69.4541,-133.0374,40,1618683978,CA,4.12
66,Pavino,276.54,274.49,276.54,276.54,1028,87,10000,59.1139,46.1414,17,1618684179,RU,2.14
67,Hobart,285.56,284.58,285.93,285.15,1014,66,10000,-42.8794,147.3294,77,1618683963,AU,6.69
68,Henties Bay,299.82,299.97,299.82,299.82,1011,44,10000,-22.116,14.2845,100,1618684002,NA,2.68
69,Port Alfred,293.39,293.19,293.39,293.39,1019,66,10000,-33.5906,26.891,43,1618683947,ZA,8.75
70,Ancud,287.71,287.0,291.15,284.82,1014,68,10000,-41.8697,-73.8203,75,1618683984,CL,2.17
71,Lebu,289.24,288.73,289.24,289.24,1015,70,10000,-37.6167,-73.65,82,1618684179,CL,3.49
72,Arraial do Cabo,300.01,302.41,301.15,299.15,1013,78,10000,-22.9661,-42.0278,40,1618684180,BR,6.69
73,Hilo,294.98,294.89,296.15,293.15,1017,64,10000,19.7297,-155.09,20,1618683924,US,1.54
74,Butaritari,300.81,303.9,300.81,300.81,1008,76,10000,3.0707,172.7902,85,1618684181,KI,2.99
75,Rabo de Peixe,291.15,291.46,291.15,291.15,1020,94,10000,37.8,-25.5833,75,1618684181,PT,5.14
76,New Norfolk,284.65,283.89,285.93,283.15,1014,78,10000,-42.7826,147.0587,99,1618684181,AU,1.79
77,Nador,292.15,291.46,292.15,292.15,1016,52,10000,35.174,-2.9287,0,1618684182,MA,2.57
78,Saint-Pierre,294.65,295.31,296.15,292.59,1017,94,5000,-21.3393,55.4781,75,1618684183,RE,3.09
79,Teya,265.23,259.44,265.23,265.23,1018,89,10000,60.3778,92.6267,86,1618684183,RU,3.67
80,Cape Town,292.34,292.19,297.04,288.15,1017,72,10000,-33.9258,18.4232,0,1618683887,ZA,2.06
81,Diffa,306.53,304.13,306.53,306.53,1005,6,10000,13.3154,12.6113,69,1618684184,NE,3.19
82,Khatanga,256.86,248.84,256.86,256.86,1011,96,405,71.9667,102.5,100,1618684184,RU,4.01
83,Oussouye,302.6,306.68,306.15,299.15,1008,69,10000,12.485,-16.5469,0,1618684185,SN,2.06
84,Narsaq,271.15,267.68,271.15,271.15,1010,29,10000,60.9167,-46.05,20,1618684185,GL,2.57
85,Hamilton,284.85,283.8,285.93,283.71,1013,66,10000,39.1834,-84.5333,90,1618683935,US,2.06
86,Provideniya,271.01,267.62,271.01,271.01,1027,96,10000,64.3833,-173.3,100,1618684186,RU,2.48
87,Natal,301.15,304.36,301.15,301.15,1010,74,10000,-5.795,-35.2094,75,1618684186,BR,4.63
88,Grindavik,277.15,274.39,277.15,277.15,1001,87,10000,63.8424,-22.4338,90,1618684027,IS,3.09
89,Nanortalik,269.7,259.92,269.7,269.7,1011,53,10000,60.1432,-45.2371,2,1618684187,GL,15.46
90,Rancho Palos Verdes,290.46,289.79,292.59,288.71,1015,59,10000,33.7445,-118.387,20,1618683967,US,3.09
91,Chui,295.74,295.67,295.74,295.74,1017,62,10000,-33.6971,-53.4616,20,1618684187,UY,3.52
92,Constitución,290.22,289.89,290.22,290.22,1016,73,10000,-35.3333,-72.4167,96,1618684187,CL,3.06
93,Kokoda,296.58,297.49,296.58,296.58,1011,96,10000,-8.8785,147.7407,100,1618684188,PG,0.16
94,Punta Arenas,285.49,284.01,286.15,284.82,1003,47,10000,-53.15,-70.9167,75,1618683904,CL,5.66
95,Kikwit,293.2,293.66,293.2,293.2,1009,92,10000,-5.041,18.8162,98,1618684188,CD,1.59
96,Chalchihuites,297.9,296.53,297.9,297.9,1009,4,10000,23.4833,-103.8833,99,1618684189,MX,7.61
97,Mkushi,288.67,288.34,288.67,288.67,1020,79,10000,-13.6202,29.3939,96,1618684189,ZM,2.76
98,Hokitika,284.03,283.26,284.03,284.03,1015,80,10000,-42.7167,170.9667,100,1618684189,NZ,0.81
99,Gao,308.43,305.68,308.43,308.43,1004,6,10000,16.6362,1.637,97,1618683986,ML,2.41
100,Sūsangerd,302.15,300.57,302.15,302.15,1010,18,10000,31.5608,48.1831,0,1618684190,IR,2.06
101,Del Rio,291.28,290.11,292.15,290.15,1020,37,10000,29.3627,-100.8968,20,1618683907,US,6.17
102,Qaanaaq,254.31,254.31,254.31,254.31,1014,94,1564,77.484,-69.3632,95,1618684190,GL,1.01
103,Swan River,284.15,282.14,284.15,284.15,1019,32,10000,52.1058,-101.2676,88,1618684191,CA,3.09
104,Shiraoi,282.04,278.19,284.15,280.93,1004,93,7000,42.55,141.35,75,1618684036,JP,8.75
105,George Town,300.75,304.67,301.48,300.15,1012,83,8000,5.4112,100.3354,40,1618684191,MY,1.54
106,Christchurch,278.37,278.37,281.48,275.15,1010,100,10000,-43.5333,172.6333,9,1618683907,NZ,1.03
107,Dikson,246.73,240.77,246.73,246.73,1019,100,10000,73.5069,80.5464,55,1618684192,RU,1.67
108,Mount Gambier,285.15,284.68,285.15,285.15,1023,87,10000,-37.8333,140.7667,90,1618684192,AU,3.6
109,Stornoway,282.92,279.88,283.15,282.59,1022,66,10000,58.2093,-6.3865,100,1618684192,GB,6.69
110,Richards Bay,290.34,289.97,290.34,290.34,1026,71,10000,-28.783,32.0377,18,1618683942,ZA,3.03
111,Qaqortoq,271.15,267.68,271.15,271.15,1010,29,10000,60.7167,-46.0333,20,1618684193,GL,2.57
112,Port Hedland,297.15,297.17,297.15,297.15,1015,60,10000,-20.3167,118.5667,76,1618684193,AU,3.6
113,Albany,281.8,281.8,283.15,280.37,1005,53,10000,42.6001,-73.9662,96,1618684045,US,0.45
114,Verāval,300.09,302.76,300.09,300.09,1012,80,10000,20.9,70.3667,3,1618684194,IN,6.02
115,Portland,294.75,293.8,296.48,292.59,1022,32,10000,45.5234,-122.6762,0,1618683920,US,0.45
116,Rikitea,298.07,298.42,298.07,298.07,1018,69,10000,-23.1203,-134.9692,96,1618683942,PF,4.3
117,Glace Bay,274.57,268.4,275.37,274.15,1010,100,3219,46.1969,-59.957,90,1618684194,CA,8.75
118,Kasamwa,292.22,292.58,292.22,292.22,1013,92,10000,-2.85,32.4333,96,1618684194,TZ,2.24
119,Hofn,280.26,275.97,280.26,280.26,1004,98,535,64.2539,-15.2082,100,1618684195,IS,8.33
120,Caravelas,300.88,302.52,300.88,300.88,1012,63,10000,-17.7125,-39.2481,69,1618684195,BR,3.17
121,Cabo San Lucas,301.9,301.2,303.15,300.15,1013,36,10000,22.8909,-109.9124,1,1618684196,MX,5.66
122,Korla,290.83,289.33,290.83,290.83,1011,26,10000,41.7597,86.1469,78,1618684196,CN,1.22
123,Port Hardy,284.76,283.7,285.15,284.15,1024,66,10000,50.6996,-127.4199,1,1618683795,CA,1.54
124,Buguruslan,283.59,282.13,283.59,283.59,1021,55,10000,53.6554,52.442,5,1618684197,RU,4.95
125,Dingle,298.55,299.26,298.55,298.55,1008,81,10000,10.9995,122.6711,100,1618684197,PH,4.62
126,Saint George,289.43,287.92,290.37,288.15,1019,31,10000,37.1041,-113.5841,1,1618684033,US,2.57
127,Port Lincoln,287.52,287.08,287.52,287.52,1027,79,10000,-34.7333,135.8667,21,1618684198,AU,2.27
128,Boca do Acre,301.39,306.38,301.39,301.39,1010,83,8179,-8.7522,-67.3978,100,1618684198,BR,1.86
129,Massakory,309.31,306.4,309.31,309.31,1004,5,10000,12.996,15.7293,62,1618684198,TD,4.24
130,Ballina,288.23,287.93,289.15,287.04,1017,82,10000,-28.8667,153.5667,90,1618684199,AU,4.63
131,Katsuura,288.75,288.3,289.82,287.59,1001,74,10000,35.1333,140.3,100,1618684033,JP,2.24
132,Avarua,297.15,298.06,297.15,297.15,1013,94,10000,-21.2078,-159.775,40,1618684199,CK,0.51
133,Kruisfontein,290.37,289.92,290.37,290.37,1017,68,10000,-34.0033,24.7314,59,1618684200,ZA,1.22
134,Ixtapa,300.15,300.57,300.15,300.15,1011,50,10000,20.7,-105.2,1,1618684200,MX,2.57
135,Malakal,307.45,304.86,307.45,307.45,1005,9,10000,9.5334,31.6605,15,1618684200,SS,2.34
136,Geraldton,291.15,290.26,291.15,291.15,1020,48,10000,-28.7667,114.6,47,1618684007,AU,3.09
137,Risør,287.04,285.56,287.04,287.04,1029,41,10000,58.7206,9.2342,28,1618684201,NO,2.68
138,Gribanovskiy,279.82,278.69,279.82,279.82,1017,91,10000,51.4579,41.9764,0,1618684201,RU,1.77
139,Esperance,286.15,285.65,286.15,286.15,1027,82,10000,-33.8667,121.9,49,1618684030,AU,5.14
140,Paamiut,266.85,259.8,266.85,266.85,1017,60,10000,61.994,-49.6678,11,1618684202,GL,5.84
141,Nampa,288.76,286.85,289.26,288.15,1026,18,10000,43.5407,-116.5635,1,1618684202,US,3.6
142,Tiksi,257.93,249.27,257.93,257.93,995,96,143,71.6872,128.8694,100,1618684203,RU,4.92
143,Kisangani,302.15,307.68,302.15,302.15,1007,79,8000,0.5167,25.2,75,1618684203,CD,1.58
144,Kristianstad,283.15,282.76,283.15,283.15,1024,53,10000,56.0313,14.1524,86,1618684204,SE,1.54
145,Monrovia,301.15,304.95,301.15,301.15,1010,78,10000,6.3005,-10.7969,75,1618683976,LR,1.49
146,Ardmore,285.02,283.67,285.37,284.26,1020,54,10000,34.1743,-97.1436,75,1618684204,US,4.12
147,San Patricio,287.64,287.44,288.15,287.15,1016,88,10000,28.017,-97.5169,90,1618683984,US,7.72
148,San,311.09,308.38,311.09,311.09,1005,12,10000,13.3034,-4.8956,100,1618683997,ML,4.07
149,Mahon,280.15,277.4,280.15,280.15,1016,81,10000,39.8885,4.2658,40,1618684205,ES,4.12
150,Ponta do Sol,288.84,288.01,290.93,287.04,1019,59,10000,32.6667,-17.1,79,1618684015,PT,2.24
151,Ordzhonīkīdze,284.53,283.58,284.53,284.53,1019,71,10000,52.4411,61.7408,8,1618684205,KZ,2.1
152,Sirsa,298.8,298.23,298.8,298.8,1011,31,10000,29.5333,75.0167,0,1618684206,IN,0.89
153,Sakakah,301.15,299.92,301.15,301.15,1019,21,10000,29.9697,40.2064,0,1618683993,SA,3.09
154,Erenhot,281.3,277.57,281.3,281.3,1015,22,10000,43.6475,111.9767,0,1618684207,CN,7.46
155,Padampur,298.22,297.64,298.22,298.22,1011,33,10000,29.6833,73.6167,0,1618684207,IN,1.98
156,Nabire,296.91,297.74,296.91,296.91,1009,92,10000,-3.3667,135.4833,100,1618684208,ID,1.31
157,Mar del Plata,292.84,293.16,293.15,292.59,1017,88,10000,-38.0023,-57.5575,0,1618684208,AR,4.63
158,Ko Samui,301.99,305.53,301.99,301.99,1012,70,10000,9.5357,99.9357,88,1618684156,TH,3.54
159,Nuuk,266.04,260.49,266.15,265.93,1015,45,10000,64.1835,-51.7216,40,1618684209,GL,3.6
160,Santa Cruz de la Sierra,300.91,302.46,300.91,300.91,1008,62,10000,-17.8,-63.1667,95,1618684209,BO,1.23
161,Sioux Lookout,283.15,280.34,283.15,283.15,1015,25,10000,50.1001,-91.917,20,1618684210,CA,6.17
162,Aksha,277.96,277.96,277.96,277.96,1003,53,10000,50.2814,113.2867,2,1618684210,RU,1.32
163,Kahramanmaraş Province,290.15,289.66,290.15,290.15,1019,67,10000,38.0,37.0,40,1618684178,TR,3.6
164,Iracoubo,300.54,303.1,300.54,300.54,1011,74,10000,5.4802,-53.2011,100,1618684211,GF,6.54
165,Neuquén,294.15,293.51,294.15,294.15,1015,46,10000,-38.9516,-68.0591,0,1618684158,AR,1.54
166,Kiunga,296.06,296.99,296.06,296.06,1008,99,10000,-6.1219,141.2906,100,1618684211,PG,0.54
167,Martin,304.43,304.75,305.93,303.15,1013,42,10000,27.0837,-80.4164,40,1618684212,US,5.66
168,Iqaluit,265.48,260.95,266.15,264.82,1014,58,10000,63.7506,-68.5145,75,1618684017,CA,2.57
169,Salinópolis,299.76,299.76,299.76,299.76,1009,84,10000,-0.6136,-47.3561,96,1618683985,BR,3.47
170,Bethel,283.73,282.07,285.15,282.59,1008,47,10000,41.3712,-73.414,90,1618684085,US,4.06
171,Sinegor'ye,262.44,255.09,262.44,262.44,1011,84,10000,62.0788,150.477,18,1618684213,RU,4.69
172,Leningradskiy,270.57,265.86,270.57,270.57,1008,88,10000,69.3833,178.4167,100,1618683944,RU,3.79
173,Hasaki,288.58,288.63,289.15,287.59,998,94,10000,35.7333,140.8333,75,1618684213,JP,3.6
174,Quito,292.15,291.65,292.15,292.15,1026,59,10000,-0.2299,-78.5249,90,1618684072,EC,1.03
